stage,Erythrocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,4.09,0,4.09,4.09,16.35,0,0
72hpf,0,0,0,0,11.77,0,1.07,2.14
21Day,1.34,0,1.34,0,2.68,0,0,0
