stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,9.63,1.07,0,0,0,0
21Day,0,0,0,2.68,1.34,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,16.06,0,1.34,0,0,0
3Month,0,0,0.32,3.84,0,0.32,0,0.64,0.64,0,5.44,2.24,0,1.6,0.64,0.32,0.64,0,0.32,0.32,0,0.32,0.32,1.6,0.64
22Month,0,1.64,0,2.73,0,0,0.55,0,2.19,0.55,28.97,3.83,0.55,0,1.09,2.19,0.55,0.55,0,0,0,1.09,0,0,0.55
