stage,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,22.47,1.07,0,1.07
21Day,1.34,0,0,2.68,2.68,1.34,1.34,0
