stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,2.14,1.07,0,0,3.21,2.14,0,0,1.07,0,0,0
21Day,1.34,1.34,0,0,0,0,2.68,0,0,0,0,0,1.34,0,1.34,0,0
3Month,0,0.96,0.64,0.32,0.32,0,4.8,0.32,0.32,0,0,0.32,0,16,0,0.32,8.96
22Month,0,0,0,6.01,0,0,2.19,0,0,0,0,0,0,8.75,0,0.55,0
