stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,12.26,49.04,4.09,0,0,0,8.17,0,0,0,0,4.09,24.52,16.35,147.11,0,0,0,8.17,829.54,0,12.26,0,0,0,0,0,0,0,0
72hpf,13.91,11.77,14.98,3.21,8.56,4.28,0,0,0,0,4.28,0,12.84,17.12,1.07,71.68,0,3.21,1.07,136.93,354.1,2.14,32.09,4.28,0,18.19,0,0,2.14,0,0
21Day,24.09,2.68,13.39,0,4.02,6.69,0,1.34,0,1.34,6.69,0,6.69,6.69,4.02,46.85,0,1.34,2.68,20.08,91.02,0,13.39,2.68,0,9.37,1.34,4.02,0,0,0
3Month,0,0,0.64,0,0,0.32,0.32,0.32,0,1.6,0.32,0,0,0.32,0.32,0.64,0.32,0,0,0,0,0,0,0,5.44,0.32,0,0,0,1.28,0.96
22Month,0,0,1.09,0,0,0,0,0,0.55,2.73,0.55,1.64,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
