stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,1.07
21Day,0,1.34,2.68,0,0,0,0,0,0,0,4.02,0,0,0,2.68,1.34,0
3Month,0,0.32,0,0.32,0,5.44,0.32,0.64,0.32,0,0.32,0.32,0,0.32,0,0,0
22Month,0,0.55,0,0,0.55,1.64,0,0.55,0,0.55,0,0,0.55,0,0,0,0.55
