stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.99,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,8.56,0,0
21Day,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,1.34,13.39,0,1.34
3Month,0.32,2.24,0,0.32,0.96,0.64,5.76,23.04,0.32,1.6,1.28,0.96,0.64,0.32,0,0.32,0,0.32,0.64,0.32,0.32,0.32,43.19,0,18.24,0.64
22Month,0,1.09,0.55,0,0,1.64,19.68,15.85,0.55,1.64,0.55,2.19,1.09,0,1.09,0,0,0,0,0,0.55,0,2.73,0.55,0,0
