stage,Epithelial_cell,Fibroblast,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,3.21,0,0,0
21Day,1.34,0,0,0,1.34,1.34,0,0
3Month,0,0.32,0,0.32,0,0,2.56,0.32
22Month,0,0,0.55,0.55,0,3.83,0,0
