stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,0,1.07,0,0,0,0,0,0,1.07,3.21,0,1.07,1.07,0,0,10.7,7.49,0,0,1.07,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,1.34,5.35,0,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34
3Month,0.32,0,4.16,0,0,0,0.32,1.6,0,6.08,0.64,1.92,0.32,1.28,0.96,0,0,0.32,0.32,0.32,0,0.32,0.64,0,0.32,0.64,0.32,0.96,0.96
22Month,0.55,0.55,0,0,0.55,0,0,0,0.55,13.67,0,4.92,0.55,0,0.55,1.09,1.64,0.55,0,0,0,0,0.55,0,0,0,0,0,0
