stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,1.07,1.07,0,0,0,0,0,4.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,1.34,13.39,0,0
3Month,0.64,0.32,3.2,0.64,0,9.28,0.64,1.92,0.64,0.32,0.96,0.64,0,0.32,101.1,1.28,0.32,0.32,0,0.64,1.6,0.32,7.04,0.32,0.64
22Month,0.55,0,13.67,0,0.55,8.75,0,1.09,0,0,3.83,0,0.55,0,0,0,0,0,0.55,0,4.92,0,0.55,0,0
