stage,Epithelial_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,24.52,0,4.09,0
72hpf,0,3.21,0,1.07,1.07
21Day,4.02,1.34,1.34,0,0
