stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,2.14,0,0,0,0,0,0,3.21,0,0,1.07,0,2.14,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,8.03,0,0,0,0,0,0,0,1.34,0,4.02,0,0,0,0,1.34
3Month,0,1.6,0.32,3.2,0,0.32,1.28,1.92,42.55,3.84,3.2,1.6,2.24,1.28,41.91,1.92,0.64,0,0.32,0.32,0.32,0,0.32,0,0,2.24,0,0.32,1.6,14.08
22Month,1.09,0,0.55,0.55,0,1.09,0.55,0,64.51,21.87,0.55,2.19,0.55,0,44.83,1.09,0,0.55,0,0,0,0,0.55,0.55,0,0,0,0.55,0,8.2
