stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,4.09,4.09,8.17,0,0,4.09,8.17,36.78,0,20.43,249.27,12.26,0
72hpf,1.07,1.07,0,0,0,6.42,0,1.07,0,12.84,11.77,1.07,2.14
21Day,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0
22Month,0,0,0,1.64,0.55,0.55,0,0,0.55,0,0,0,0
