stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,20.16,2.88,1.6,0.96,6.72,0.64,51.51,0.32,1.28,0.32,0.64,0.32,0,0.32,0.32,0.64,2.56,1.6,1.28,0.64
22Month,0,1.09,0,0,7.11,0,30.61,0,0,0,1.09,0,0.55,0,0,0,6.56,0,0.55,0
