stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Muscle_cell,Pancreatic_cell
21Day,1.34,0,0,0,0,0,1.34,6.69,0
3Month,1.92,0.32,0.32,2.88,0.32,1.6,0,44.79,0.32
22Month,0,0,0,2.19,0,0.55,0,3.83,0
