stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,4.28,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,5.35,0,0,0,1.34,1.34,0,2.68,0,1.34,1.34,0,2.68,0,0,0,0,0,0,0,0,1.34,0,0,4.02
3Month,0.32,0.64,0.32,3.2,0,0,0.32,0.32,69.75,54.71,0,1.92,1.92,0.64,6.4,1.6,0.32,0.96,0.32,0.32,0.32,0.32,1.28,1.6,0,0.64,3.84,7.04
22Month,0.55,1.64,0,1.64,0.55,0.55,0,2.73,51.39,9.84,0,1.09,0,0,1.09,3.28,1.64,0.55,0,0,0,0,0,0.55,0,0,0,3.83
