stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0,0,0,6.4,0.64,0.32,0.64,5.44,0.32,0,1.6,0,0.64,1.28,0.64,0.96,0,0,0.32,0.32,0,0,0,0.32,0,0.32,0.32
22Month,0,0.55,1.09,3.28,0,1.09,4.92,47.01,1.09,0.55,5.47,0.55,1.09,1.64,3.28,0.55,0.55,0.55,0,0,0.55,0.55,0,1.64,0.55,0.55,0.55
