stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,59.91,1.07,1.07,0,1.07,0,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,5.35,0,0,25.43,0,0,0,1.34,0,0,0,0,1.34,1.34,0,0,0
3Month,0,0.96,0,0.32,1.92,0.32,0.64,0.32,1.28,2.56,0.32,0,0.64,0.32,0.96,0,0,0.32,0.32,0,0,0,0.64,0.64,0.32,0.32
22Month,0.55,0.55,0.55,0.55,9.84,0,1.09,0,0,1.09,0,0.55,0.55,0,1.09,0.55,0,0,2.19,0,2.19,0,0,0,0,0
