stage,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,0,14.98,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,17.4,0,1.34,0,0,5.35,0,0,0,0,0
3Month,0.32,0.32,1.6,0.32,0.96,0.32,0,0,0.32,0.32,0.32,48.31,0.32,0,0,0.32,0,3.52,0.64,0,0.32,0.96
22Month,0,0,0.55,0,2.73,0,0.55,0.55,0,0,0.55,5.47,0,0,0,0,0,1.64,7.65,0,0,0
