stage,Endothelial_cell,Granulocyte,Granulosa_cell,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,24.52,4.09,0,8.17,0
72hpf,1.07,0,0,0,0,2.14,0,1.07,1.07,0
21Day,0,0,0,0,0,8.03,0,2.68,1.34,1.34
3Month,0,0.32,0,0.32,0.32,0,0,0,0,0
22Month,0,0,0.55,0,0,1.09,0,0,0,0
