stage,Epithelial_cell,Erythrocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,53.12,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0
72hpf,13.91,0,0,0,0,0,0,6.42,0,1.07,3.21,0,0,0,0,0,0,0
21Day,77.63,1.34,0,0,0,1.34,1.34,6.69,0,2.68,2.68,1.34,0,2.68,0,1.34,2.68,1.34
3Month,0.96,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.32,0,0,0
22Month,1.64,0,0,2.73,0,0,1.09,0,0.55,0,0,0,0.55,0,10.39,0,0,0
