stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,833.63,4.09,28.6,0,0,0,0,0,0,0,0,0,8.17,8.17,122.59,0,0,12.26,408.64,0,8.17,0,0,0,0,0,0,0,0
72hpf,322.01,1.07,3.21,1.07,0,0,0,0,0,0,0,0,1.07,0,18.19,0,0,14.98,17.12,1.07,9.63,0,0,1.07,0,0,0,0,0
21Day,315.89,0,9.37,10.71,1.34,0,1.34,0,0,5.35,0,0,1.34,2.68,34.8,0,1.34,8.03,8.03,2.68,4.02,5.35,0,0,1.34,1.34,0,0,1.34
3Month,0.32,0.96,0,0,0,0.32,0,0,0.32,0,0,0,1.6,0,2.56,0,0.32,0,0,0.32,0.32,0,1.28,0,0,0.32,0.32,0.64,0.32
22Month,2.73,1.09,1.64,0,0,0,1.09,1.64,7.11,1.09,0.55,0.55,0,0.55,1.64,0.55,0.55,0,0,0,0,0,2.73,0,0,0,0.55,0,0
