stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,32.69,8.17,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,26.74,4.28,0,1.07,1.07,0,1.07,0,0
21Day,0,0,0,0,0,1.34,1.34,0,0,0,16.06,0,0,0,0,0,1.34,0,2.68
3Month,0,0.32,0.32,0.32,0.32,1.92,0.32,0.32,0.32,0.32,0,0,0,0.32,0,0.96,0,0.32,0.32
22Month,0,0,0,0,3.28,1.09,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0
