stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,25.67,17.12,0,0,1.07,0,0,3.21,0,0,0
21Day,1.34,0,4.02,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,0,8.03,16.06,0,1.34,0,1.34,0,1.34,0,0,0
3Month,16,0.32,2.88,0.32,0,0,0.32,0.96,0,0,2.24,0.96,0,1.92,0.32,0.96,1.28,2.24,1.28,0,1.6,0.96,0.32,16.64,0.64,0,0,0.64,9.92,0.96,18.24,0.64,0
22Month,15.85,1.09,4.37,0,0,0.55,0.55,2.19,3.28,0,36.08,0.55,0.55,4.92,0.55,1.64,0.55,8.75,0.55,1.64,0,0,1.09,3.83,1.64,0.55,0,0,4.92,0.55,2.19,0,0.55
