stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,1250.44,0,40.86,0,0,0,0,159.37,0,0,4.09,0,0,0,0,0,0,0
72hpf,11.77,4.28,0,46,1.07,11.77,0,0,0,0,0,0,0,1.07,0,5.35,2158.84,3.21,33.16,0,1.07,1.07,104.84,58.84,1.07,1.07,18.19,1.07,0,12.84,0,0,0,0
21Day,1.34,0,0,13.39,0,0,0,0,0,0,0,0,0,1.34,0,0,29.45,0,8.03,0,2.68,0,2.68,2.68,0,0,5.35,0,0,1.34,0,0,0,0
3Month,0.32,0.64,1.92,9.92,0.32,0,0.32,0.96,0.32,0.32,0,5.12,0.32,0,2.88,2.24,0.96,2.24,13.44,1.6,2.24,5.12,0.64,0.32,0.64,1.28,0.64,0,1.28,0.32,0.32,0.96,0.64,0.32
22Month,0,0,1.09,3.28,0,0,0,0.55,0,7.65,0,9.29,0,0,1.64,0,0,0,1.09,0,0.55,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0
