stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,1.07,1.07,2.14,1.07,0,1.07,0
21Day,2.68,0,0,2.68,1.34,0,0,0,0
3Month,0,0.32,0.32,0,0,0,0.32,0,0.32
