stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,44.95,20.43,0,138.94,4.09,8.17,0,0,0,0,36.78,0,0,0,0,12.26,65.38,81.73,183.89,0,0,0,4.09,49.04,1716.29,0,16.35,0,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,0,11.77,2.14,3.21,0,0,1.07,0,0,0,0,0,0,6.42,9.63,2.14,28.88,0,1.07,1.07,1.07,67.4,125.17,0,10.7,0,1.07,4.28,0,0,0,0,0
21Day,10.71,0,1.34,22.76,1.34,33.46,0,14.72,2.68,0,0,0,1.34,14.72,0,4.02,5.35,1.34,14.72,0,0,0,0,18.74,60.23,0,2.68,5.35,0,1.34,4.02,0,0,0,0
3Month,0,0,0,4.16,0,0,0.32,0,0.96,0,0,8.96,0.64,0.32,0.96,0.32,1.28,1.28,2.24,0.32,0,0.64,0.64,0,0.32,0.32,0,0,6.08,0,0,0,0.64,2.88,0.64
22Month,1.64,0,0,2.73,0,0,0,0,0.55,0.55,0,2.73,0,0,2.19,0,0,1.64,1.09,0,1.09,0,0,0.55,1.09,0,0,0,3.28,0,0,0,0.55,0,0
