stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,12.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,16.06,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,1.34,0,0
3Month,0,0.32,0.32,0.32,0.32,0.96,0.32,0.32,0.32,0.32,0.32,0,0,4.16,0,0,12.48,0.32
22Month,0,0,0,0,0,2.73,0.55,0,0,0,1.09,0.55,0,1.64,0.55,0,0,0.55
