stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,16.35,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,0,4.28,0,0,0,0,0,0,10.7,37.44,0,0,0,0,6.42,1.07,0,0,1.07,0,0,0,0,0
21Day,1.34,40.16,1.34,0,0,0,0,6.69,1.34,13.39,0,0,0,0,2.68,0,1.34,0,0,1.34,0,0,0,1.34
3Month,0.96,32.31,0,8.32,0.64,2.56,0.96,17.28,0.96,0.32,0.96,0,0.32,1.92,0,0,0.96,0.32,0.32,0,4.48,0.32,24,0.64
22Month,0.55,3.28,0,3.83,0.55,6.01,0,19.68,0,0,0,1.09,0,0.55,0,0,6.01,0,0,0,1.64,0,0,0
