stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,53.12,0,0,0,0,0,0
72hpf,0,0,7.49,1.07,0,0,0,0,0,4.28,0,4.28,0,59.91,14.98,0,0,4.28,0,0,0
21Day,1.34,0,5.35,0,0,0,0,0,0,1.34,0,5.35,0,12.05,1.34,0,2.68,0,0,1.34,0
3Month,0,0,1.28,0,0.32,0.64,0.32,0.32,0,0.64,0,0.96,0.32,0,0,0.32,0,0,0.96,0,0.32
22Month,0,0,0,0,1.09,17.49,1.09,0.55,0.55,0,0.55,0,0,0,0,0,0,0,0.55,0,0
