stage,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Oligodendrocyte
21Day,1.34,0,0,0,0,0
3Month,0,0,0.32,0.64,0,0
22Month,0,0.55,0,0,0.55,0.55
