stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,14.72,0,1.34,0,0,0,1.34,0,0,0,5.35,1.34,0,0,0,0,0,0,0
3Month,2.24,5.76,0,0.64,0.32,0.64,363.78,2.88,4.16,0.96,1.92,1.6,2.56,0.32,1.28,0.64,0.32,0,0.64,0.96,6.08,0.32,1.6,0.32,2.56
22Month,2.19,0,0,0.55,0,0.55,110.42,0,1.64,0,0,0,1.64,0.55,0.55,0,0,0,0,0,0,0,0,0,0
