stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0,1.07,0,0,0,0,0,0
21Day,1.34,4.02,2.68,0,0,0,0,0,0,0,0,1.34,0,1.34,2.68,0,0,0,0,0,0,0,0,0,1.34
3Month,0.96,6.4,0,0.32,0.96,1.6,3.52,1.92,5.12,0.32,2.88,3.2,3.2,0.64,0.32,0.32,0.96,0.32,0,0.32,0,0.32,1.6,2.24,2.88
22Month,0,0,0,0,0.55,1.09,3.28,0,0.55,0,0,1.09,0.55,0,0,0,0,0.55,0,0,0.55,0,0,0,0
