stage,Endothelial_cell,Granulocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,4.09,0
72hpf,0,0,0,10.7,0,1.07
21Day,0,0,0,2.68,0,0
22Month,0.55,0.55,0.55,0,0,0
