stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,4.09,0,0,0,0,0,0,49.04,0,0,12.26,0,0,4.09,0,138.94,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,12.84,4.28,0,0,0,0,0,0,3.21,4.28,0,3.21,0,0,1.07,26.74,28.88,0,0,0,1.07,0,0,10.7,2.14,0,0,0
21Day,0,0,2.68,5.35,2.68,18.74,0,0,0,0,0,0,4.02,0,0,1.34,0,1.34,1.34,12.05,14.72,0,0,0,1.34,2.68,0,13.39,1.34,0,0,0
3Month,0,0.32,0.64,40.63,0.96,0,0.64,2.88,4.8,10.56,3.2,8,14.08,3.52,3.2,3.2,1.28,0.64,2.24,15.04,0.32,0.64,0.32,0,0.32,0.96,7.36,0.64,1.28,0.64,399.62,1.6
22Month,0,0,0.55,22.96,0,0,0,0,2.73,6.01,0.55,2.19,2.19,0.55,0.55,0.55,0,0,1.09,0.55,0,0,0,0.55,0,0,2.19,0.55,0,0,6.56,0.55
