stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,2.68,0,4.02,2.68,0,0,2.68,25.43,0,1.34,6.69,1.34,0,1.34,0,2.68,0,0,1.34,1.34,0,0,1.34,0,21.42
3Month,1.28,3.84,0,0,0.32,9.28,0,2.88,35.83,2.56,1.28,0.64,2.56,1.6,0.32,0,0.32,0,0.32,0,0,0.32,0.32,0.96,0.32,0.32,18.88
22Month,0,0.55,0,0.55,0,33.35,0.55,7.11,14.21,1.64,0.55,0,7.65,1.09,0,0,0,0,0,0.55,0,0,0,0,0.55,0,8.75
