stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,0,1.07,1.07,4.28,0,77.02,32.09,0,1.07,3.21,0,0,3.21,0,0
21Day,0,1.34,1.34,1.34,1.34,1.34,0,2.68,0,0,4.02,4.02,10.71,1.34,52.2,16.06,0,0,0,4.02,1.34,4.02,2.68,0
3Month,0,1.28,0,0,0.32,0.96,0,0,0.64,0.32,0,0,0,0.32,1.28,0.32,1.28,0,0,0.32,4.16,0.32,0,0.32
22Month,0,0,0,0,0,2.73,0.55,0,0.55,0,0,0,1.09,0.55,0.55,0,2.73,0,0,0,18.59,1.09,0,0
