stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell
24hpf,0,4.09,4.09,0,0,8.17,8.17,0,0,49.04,0,0,0
72hpf,0,0,1.07,0,0,0,1.07,0,11.77,2.14,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,1.34,9.37,1.34,1.34,1.34,1.34
