stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,44.95,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,14.98,0,0,0,0,0,1.07,0,0,1.07,1.07,0,1.07,0,0
21Day,0,0,22.76,0,0,0,0,0,0,0,0,2.68,0,17.4,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,18.88,0.96,0.32,0.96,1.92,0,7.36,0.32,0,4.8,0.64,2.24,0.64,0.96,0.64,0,0.32,0,0,0.32,0,8,0,0,1.28,0.32
22Month,0,0.55,5.47,0,0,1.64,0.55,1.09,34.99,1.64,1.64,9.84,0.55,1.09,4.37,1.64,0,0.55,0.55,0.55,0.55,0,0,3.83,0,0,0,0.55
