stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,4.09,0,0,4.09
72hpf,0,0,0,0,1.07,0,0,0,1.07,1.07
21Day,0,1.34,0,0,1.34,0,0,0,0,0
3Month,9.28,0,0.32,0.64,0.96,0.32,0.64,0.32,0,0
