stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,1.07,8.56,5.35,3.21,3.21,0,0,0,0,0,0,0,1.07,4.28,0,6.42,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,4.02,12.05,17.4,2.68,0,0,0,0,0,0,0,1.34,1.34,5.35,0,61.57,0,0,21.42,2.68,2.68,0,2.68,5.35,0,1.34,2.68,0
3Month,0.32,4.16,8.96,0,0,0,1.28,0.32,0,2.24,2.24,1.28,0.32,1.28,4.8,12.48,0.32,0,4.8,0,0,0,0,0.96,1.6,0,15.68,0.96
22Month,0,2.73,2.73,0,0,0.55,1.64,0.55,0.55,7.65,0,0.55,0,1.09,2.19,2.73,0,0.55,2.19,0.55,0,0.55,1.09,0,3.28,0,3.28,1.09
