stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,32.69,77.64,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,3.21,0,0,0,0,4.28,5.35,0,106.98,0,0,0,18.19,9.63,0,4.28,0,0,2.14,1.07,0,0
21Day,0,0,0,4.02,0,1.34,0,0,0,0,1.34,1.34,0,18.74,0,0,0,4.02,5.35,0,6.69,0,0,0,0,0,0
3Month,0,0.32,0.32,5.76,0,0,0.32,0.32,1.6,0.32,0.32,3.2,0,5.76,0.96,0.32,0.96,0.32,0.32,0.64,0,0.32,9.6,0,0,7.36,1.28
22Month,0,0,0,1.64,0,0,0,0,1.64,0,0,0,0.55,1.09,0,0,0,0.55,0,0,0,0,1.64,0,0,0,0
