stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,0,4.09,0,0,12.26,0
72hpf,1.07,1.07,0,0,2.14,0,4.28,1.07
21Day,0,1.34,2.68,0,2.68,4.02,2.68,1.34
