stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,8.17,8.17,0,0,0,0,28.6,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,4.28,0,2.14,0,0,0,0,0,1.07,0,0,0,10.7,9.63,0,3.21,18.19,0,1.07,4.28,4.28,0,0,4.28,2.14,1.07,1.07,0,1.07,0,0,0
21Day,2.68,0,2.68,0,0,0,0,0,4.02,0,0,2.68,1.34,1.34,1.34,0,0,14.72,1.34,0,0,0,0,4.02,0,0,0,0,0,0,0,1.34
3Month,0,1.6,9.28,0.32,0,1.28,2.56,0.32,307.79,3.84,0.32,6.72,3.52,3.2,2.56,2.88,0,26.88,2.56,0,0,0.32,1.28,0,4.48,0.96,0,0.32,0,1.28,0.32,0.64
22Month,0,0.55,4.37,0.55,0.55,0,80.9,0.55,56.31,14.76,4.37,1.09,2.19,5.47,27.88,10.39,2.73,1.09,0.55,0,0,0.55,0,0,1.09,3.28,0,0,0,0.55,0,0.55
