stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34
3Month,0.64,3.2,0.32,1.92,0.64,0,2.24,3.2,1.28,0.32,1.28,0.96,0.32,0,1.28,0.32,0
22Month,0,0,0.55,0,0.55,0.55,13.67,0.55,1.64,0.55,0.55,0.55,0,0.55,0,0.55,0
