stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,44.95,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,3.21,1.07,3.21,0,0,0,0,0,0,0,0,6.42,1.07,2.14,0,0,0,0,483.55,26.74,0,2.14,8.56,0,0,2.14,20.33,25.67,0,0,0,0
21Day,8.03,2.68,22.76,20.08,2.68,0,2.68,1.34,0,2.68,1.34,1.34,13.39,0,25.43,1.34,0,4.02,0,621.08,10.71,0,4.02,8.03,21.42,0,5.35,30.79,149.92,4.02,0,0,2.68
3Month,0,0.32,3.52,0,0,0.32,0.96,14.72,0.32,0,2.56,0.64,0,0.64,0.96,0,0,0.32,0,5.12,0,0.96,0,0.32,0.96,8.96,1.28,1.28,0,0,0.32,2.24,0.64
22Month,0,0.55,1.09,0,0.55,0,1.64,25.15,0,0.55,0,0.55,0.55,0,1.09,0,0.55,0,0.55,13.67,0,1.09,2.19,0.55,0,16.95,6.56,4.92,0.55,0,0,0,0.55
