stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,3.21,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,1.92,0,0.32,0.32,0.64,0.32,0.32,0,0,0,24.64,0.32,5.76
22Month,0,1.09,0,0.55,0,0,0,0,0,0,0,0,0
