stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,0
72hpf,0,0,0,0,0,1.07,0,0,1.07,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.64,0.32,0.32,0.32,0,0.64,0.32,0,0,1.28,0.32
22Month,0,0,1.09,0,0,0,0,0,0,0,0,0
