stage,Erythrocyte,Granulosa_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,24.52,0,0
72hpf,1.07,0,0,0,3.21,19.26,12.84,3.21,3.21
21Day,0,0,0,1.34,2.68,2.68,0,0,2.68
3Month,0,0,0.96,0,0,0,0,0,0
22Month,0,0.55,0,0,0,0,0,0,0
