stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,8.17,0,16.35,0,0,0,0,0,0,0,0,0,0,8.17,32.69,0,0,0,20.43,138.94,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,3.21,5.35,0,5.35,1.07,0,0,0,0,0,1.07,0,0,5.35,1.07,20.33,0,0,0,69.54,43.86,0,3.21,19.26,2.14,0,22.47,3.21,0,0,0,0,0
21Day,6.69,1.34,0,24.09,0,1.34,1.34,0,2.68,0,1.34,0,2.68,10.71,4.02,48.19,0,0,6.69,52.2,28.11,0,4.02,24.09,8.03,0,9.37,1.34,6.69,2.68,0,0,1.34
3Month,0,2.24,0,5.76,0,0.96,1.6,0.32,10.88,0.64,0.32,2.56,0.96,1.92,3.52,5.12,0.64,0,0.32,0.32,0,0.96,0.32,0,0.32,1.6,0.32,0,0,0,3.2,6.08,0.64
22Month,0,9.29,0.55,3.28,0,1.09,9.29,4.92,52.48,1.09,0,8.2,1.09,1.09,5.47,2.19,0,0.55,0,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0.55
