stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell
72hpf,1.07,0,0,0,0
21Day,0,0,0,1.34,1.34
3Month,0,0,0.32,4.48,0
22Month,0,2.19,0,9.84,0
