stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
24hpf,0,0,4.09,0,0,4.09,0,0,8.17,0,0
72hpf,1.07,0,0,0,0,0,0,26.74,1.07,0,0
21Day,2.68,1.34,0,0,1.34,0,0,58.9,2.68,2.68,1.34
3Month,0,0,0,0.64,0,0,0.32,0.32,0,0,0
