stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,4.28,0,9.63,1.07,2.14,1.07,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,4.02,0,0,0,0,0
3Month,0,0.32,0,0.32,0.96,0.64,0.96,0,0,0,0,0,0,0,0,0.32,0,0,0,0.32,0.64
22Month,0,0.55,0,0.55,10.39,0.55,0,0.55,0.55,0.55,0.55,0.55,0,0,0.55,0.55,0,0,0,0,0
