stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,1.92,0.32,0.32,0.32,0,0.32,0.32,0,0.96,0.64,0,0,0,0,0,1.92
22Month,0.55,0,0.55,2.19,0.55,4.37,0,0.55,1.09,0,0.55,0.55,0,0.55,0.55,0
