stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,12.26,0,0,0,4.09,4.09,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0
3Month,0,0.32,0.32,0.96,0,0,3.2,0.32,0.96
