stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,28.6,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,6.69,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0
3Month,0.32,45.75,0,0.32,0,1.28,0.64,1.6,1.92,0.64,0.32,0,1.28,0.32,0,0.32,0.32,16,0.32,4.8,0.32
22Month,0,0.55,0.55,0,0.55,3.28,1.09,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0
