stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,5.35,0,0,0,0,0,0,0,0,0,5.35,6.42,0,1.07,0,0,1.07,1.07,22.47,9.63,1.07,0,0,1.07,1.07,0,1.07,0,0,0,0,0
21Day,0,0,30.79,5.35,4.02,0,0,0,0,0,0,0,1.34,5.35,29.45,0,1.34,0,0,2.68,0,13.39,5.35,0,0,0,2.68,1.34,0,1.34,0,1.34,0,0,0
3Month,1.28,1.6,66.55,2.56,0,0.32,3.84,2.24,0,21.12,5.12,0.64,2.88,15.68,5.12,1.92,1.92,0.96,0,1.6,4.16,14.4,0.64,0.96,0.32,0,0.32,2.56,28.16,0.32,0.32,0,1.6,674.45,1.92
22Month,1.64,1.09,46.47,2.73,0,0.55,7.65,3.28,1.64,30.07,1.64,0,9.29,2.19,3.28,2.19,1.64,0,0.55,3.28,0.55,2.73,0.55,0.55,0,0.55,0.55,0,26.24,1.09,0,0,0,2.73,0.55
