stage,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,1.07,3.21,1.07,0,3.21,1.07
21Day,0,0,0,0,0,0,1.34,1.34,18.74
22Month,4.92,0.55,0.55,0,0,0,0,0.55,0
