stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Radial_glia
72hpf,0,0,0,0,0,0,1.07
21Day,0,0,0,0,1.34,0,0
22Month,0.55,0.55,3.83,2.19,0,0.55,0
