stage,Cardiomyocyte,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell
24hpf,0,4.09,4.09,0,4.09,4.09,0,0
72hpf,0,0,1.07,0,10.7,2.14,1.07,0
21Day,1.34,1.34,0,1.34,5.35,0,0,1.34
