stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Osteoblast,Retinal_cone_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07
21Day,1.34,0,0,0,1.34,0,1.34,1.34,1.34,1.34
3Month,0,0,0,0.64,0,0.32,0.32,0,0,0
22Month,0,0.55,1.09,0,0,0,0,0,0,0
