stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,8.17,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,4.09,20.43,0,0,0,4.09,0,0,0,0,0,4.09,0,0
72hpf,1.07,2.14,0,0,24.61,2.14,0,0,0,0,0,0,0,0,2.14,4.28,1.07,29.95,0,4.28,2.14,300.61,24.61,6.42,7.49,0,20.33,0,1.07,10.7,5.35,6.42,8.56,0,0
21Day,4.02,0,0,4.02,14.72,0,0,0,0,0,0,0,1.34,0,0,0,1.34,24.09,0,16.06,0,64.25,8.03,10.71,8.03,0,26.77,2.68,2.68,4.02,9.37,10.71,0,0,0
3Month,0,1.28,0,28.48,3.84,0,0,0.32,0.64,1.92,8.32,1.6,0,2.24,0.64,2.56,2.24,13.76,3.52,3.52,42.55,0.32,0,12.8,0.64,0,0,1.92,41.59,1.6,0.32,0,0.64,3.84,47.67
22Month,0,3.83,0.55,7.65,1.09,0,0.55,0,0.55,0.55,19.68,0.55,0,0.55,0,1.64,0,9.84,2.19,1.64,0,0,0.55,15.31,1.09,1.09,0.55,0.55,39.36,1.64,2.19,0,0.55,0,0
