stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,5.35,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,1.34,0,0,0
3Month,0.32,0.32,0.32,15.04,0.32,0.32,0.64,1.6,11.52,3.52,0.32,2.88,6.4,0.64,3.84,1.92,0,0,0.64,1.28,0.32,0,0.64,0.32,0.64,22.08,0,0.32,420.73,3.2
22Month,0,0,0,3.28,0,0,0,0,7.65,0,0.55,2.73,1.09,0,1.09,0.55,0.55,0.55,0,0,0,0,0,0,0.55,13.12,0,0,3.28,0
