stage,Endothelial_cell,Epithelial_cell,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,4.09,0,0,0
3Month,0,0.32,0.32,0.32,0,1.28,0.64,0.32
22Month,0.55,0,0.55,0,0,0,0,0
